Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743409265611,4056,4056,4056,4056,4056,4056,4056,4056,48.588478088378906,48.357398986816406,47.98689270019531,48.18471908569336,48.03575134277344,48.06332015991211,48.35228729248047,48.29934310913086,48.269187927246094,48.20553207397461,48.17110061645508,48.13442611694336,47.924171447753906,48.00679016113281,NaN,100,100,0,0,NaN,50,0,6.133071422576904,17179869184,8589934592,13588086784,7698907136
204,1743409265611,4056,4056,4056,4056,4056,4056,4056,4056,48.588478088378906,48.357398986816406,47.98689270019531,48.18471908569336,48.03575134277344,48.06332015991211,48.35228729248047,48.29934310913086,48.269187927246094,48.20553207397461,48.17110061645508,48.13442611694336,47.924171447753906,48.00679016113281,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,6.133071422576904,17179869184,8589934592,13588086784,7698907136
204,1743409265816,4056,4056,4056,4056,4056,4056,4056,4056,48.588478088378906,48.357398986816406,47.98689270019531,48.18471908569336,48.03575134277344,48.06332015991211,48.35228729248047,48.29934310913086,48.269187927246094,48.20553207397461,48.17110061645508,48.13442611694336,47.924171447753906,48.00679016113281,18.18181800842285,4.761904716491699,0,0,19.047618865966797,5,9.523809432983398,4.761904716491699,8.63426685333252,17179869184,8589934592,13629276160,7698907136
201,1743409266021,4056,4056,4056,4056,4056,4056,4056,4056,48.588478088378906,48.357398986816406,47.98689270019531,48.18471908569336,48.03575134277344,48.06332015991211,48.35228729248047,48.29934310913086,48.269187927246094,48.20553207397461,48.17110061645508,48.13442611694336,47.924171447753906,48.00679016113281,31.57894515991211,28.571430206298828,19.047618865966797,9.523809432983398,19.047618865966797,20,5,28.571430206298828,8.63426685333252,17179869184,8589934592,13629276160,7698907136
200,1743409266222,4056,4056,4056,4056,4056,4056,4056,4056,48.588478088378906,48.357398986816406,47.98689270019531,48.18471908569336,48.03575134277344,48.06332015991211,48.35228729248047,48.29934310913086,48.269187927246094,48.20553207397461,48.17110061645508,48.13442611694336,47.924171447753906,48.00679016113281,5,0,0,0,10,10,5.263157844543457,5,8.63426685333252,17179869184,8589934592,13629276160,7698907136
204,1743409266423,4056,4056,4056,4056,4056,4056,4056,4056,54.3851318359375,54.05174255371094,53.054752349853516,53.134437561035156,52.77632141113281,53.254337310791016,55.5938835144043,55.258392333984375,54.809226989746094,54.40262985229492,54.101295471191406,53.36358642578125,53.61423110961914,53.41636276245117,14.285715103149414,10,5,4.761904716491699,5.263157844543457,9.523809432983398,23.809524536132813,0,8.63426685333252,17179869184,8589934592,13629276160,7698907136
203,1743409266628,4056,4056,4056,4056,4056,4056,4056,4056,54.3851318359375,54.05174255371094,53.054752349853516,53.134437561035156,52.77632141113281,53.254337310791016,55.5938835144043,55.258392333984375,54.809226989746094,54.40262985229492,54.101295471191406,53.36358642578125,53.61423110961914,53.41636276245117,10,9.523809432983398,5,0,19.047618865966797,5,5,0,8.63426685333252,17179869184,8589934592,13629276160,7698907136
204,1743409266832,4056,4056,4056,4056,4056,4056,4056,4056,54.3851318359375,54.05174255371094,53.054752349853516,53.134437561035156,52.77632141113281,53.254337310791016,55.5938835144043,55.258392333984375,54.809226989746094,54.40262985229492,54.101295471191406,53.36358642578125,53.61423110961914,53.41636276245117,15.000000953674316,19.047618865966797,23.809524536132813,15.000000953674316,15.000000953674316,0,14.285715103149414,9.523809432983398,8.866703987121582,17179869184,8589934592,13760610304,7698907136
204,1743409267037,4056,4056,4056,4056,4056,4056,4056,4056,54.3851318359375,54.05174255371094,53.054752349853516,53.134437561035156,52.77632141113281,53.254337310791016,55.5938835144043,55.258392333984375,54.809226989746094,54.40262985229492,54.101295471191406,53.36358642578125,53.61423110961914,53.41636276245117,40,20,20,19.047618865966797,5,14.285715103149414,10,0,8.866703987121582,17179869184,8589934592,13786136576,7698907136
204,1743409267242,4056,4056,4056,4056,4056,4056,4056,4056,56.409549713134766,56.24199295043945,54.95853805541992,53.3870735168457,54.612449645996094,53.615501403808594,57.65601348876953,57.3121223449707,56.8486213684082,56.612606048583984,56.183082580566406,55.466453552246094,55.80918884277344,55.630882263183594,14.285715103149414,5,9.523809432983398,0,14.285715103149414,14.285715103149414,0,0,8.866703987121582,17179869184,8589934592,13792903168,7698907136
