file_name,label,x,y,width,height
000000397133.jpg,bottle,217.62,240.54,38.99,57.75
000000397133.jpg,dining table,1.0,240.24,346.63,186.76
000000397133.jpg,person,388.66,69.92,109.41,277.62
000000397133.jpg,knife,135.57,249.43,22.32,28.79
000000397133.jpg,bowl,31.28,344.0,68.12,40.83
000000397133.jpg,bowl,59.63,287.36,76.07,41.3
000000397133.jpg,oven,1.36,164.33,192.56,98.37
000000397133.jpg,person,0.0,262.81,62.16,36.77
000000397133.jpg,cup,119.4,272.51,24.82,34.25
000000397133.jpg,cup,141.47,267.91,32.19,35.86
000000397133.jpg,bowl,155.97,168.95,26.03,17.13
000000397133.jpg,bowl,157.2,114.15,17.86,15.82
000000397133.jpg,broccoli,98.75,304.78,10.78,5.57
000000397133.jpg,spoon,166.03,256.36,8.82,18.58
000000397133.jpg,broccoli,86.41,293.97,23.96,11.18
000000397133.jpg,broccoli,70.14,296.16,9.28,4.58
000000397133.jpg,oven,0.0,210.9,191.36,98.98
000000397133.jpg,carrot,96.69,297.09,7.84,4.86
000000397133.jpg,sink,497.25,203.4,122.01,28.61
000000037777.jpg,potted plant,102.49,118.47,7.9,17.31
000000037777.jpg,chair,26.5,215.25,61.5,14.5
000000037777.jpg,chair,116.5,189.57,50.0,25.5
000000037777.jpg,dining table,79.55,178.05,208.36,48.7
000000037777.jpg,refrigerator,301.84,74.94,49.62,151.44
000000037777.jpg,banana,220.65,178.93,37.84,27.91
000000037777.jpg,oven,137.47,124.11,60.18,71.02
000000037777.jpg,sink,266.33,134.49,27.87,3.47
000000037777.jpg,orange,215.77,184.9,17.26,15.97
000000037777.jpg,orange,231.6,200.96,16.69,15.93
000000037777.jpg,orange,230.55,178.25,11.73,10.98
000000037777.jpg,orange,205.19,187.01,14.99,21.2
000000037777.jpg,chair,241.95,180.42,51.37,45.4
000000037777.jpg,orange,217.89,200.56,14.14,13.49
000000252219.jpg,person,326.28,174.56,71.24,197.25
000000252219.jpg,person,9.79,167.06,121.94,226.45
000000252219.jpg,person,510.44,171.27,123.66,215.76
000000252219.jpg,umbrella,560.73,90.25,79.27,67.32
000000252219.jpg,handbag,46.01,211.11,33.55,51.85
000000252219.jpg,cup,345.13,226.41,11.06,22.14
000000252219.jpg,traffic light,337.06,44.11,61.36,57.17
000000087038.jpg,bicycle,253.21,271.07,59.59,60.97
000000087038.jpg,person,226.04,229.31,11.59,30.41
000000087038.jpg,person,257.85,224.48,44.13,97.0
000000087038.jpg,person,68.18,238.19,16.18,42.88
000000087038.jpg,person,79.16,232.26,28.22,51.12
000000087038.jpg,person,98.4,234.28,19.52,46.46
000000087038.jpg,person,326.86,223.46,13.11,38.67
000000087038.jpg,bicycle,155.27,246.34,14.87,21.99
000000087038.jpg,skateboard,298.61,316.85,63.91,47.19
000000087038.jpg,person,345.41,173.41,72.94,185.41
000000087038.jpg,person,239.72,225.38,10.64,33.06
000000087038.jpg,person,167.02,234.0,15.78,37.46
000000087038.jpg,person,209.68,231.08,9.15,34.53
000000087038.jpg,person,408.29,231.25,17.12,34.97
000000087038.jpg,person,204.14,229.02,7.33,34.96
000000087038.jpg,person,195.32,228.06,10.65,37.18
000000087038.jpg,person,1,190,638,101
000000174482.jpg,bicycle,187.74,5.84,310.4,380.49
000000174482.jpg,car,398.03,80.69,81.12,36.8
000000174482.jpg,car,148.45,71.56,92.0,44.27
000000174482.jpg,traffic light,109.26,26.54,8.59,11.57
000000174482.jpg,traffic light,95.07,67.63,6.89,8.34
000000174482.jpg,car,364.21,86.57,31.29,23.67
000000174482.jpg,car,81.28,76.22,26.81,18.31
000000174482.jpg,car,122.6,79.2,9.33,14.9
000000174482.jpg,truck,506.05,25.26,133.95,111.97
000000174482.jpg,truck,396.71,80.69,82.13,35.56
000000174482.jpg,truck,476.76,81.15,43.64,39.47
000000174482.jpg,traffic light,32.65,58.41,5.23,3.45
000000403385.jpg,toilet,411.1,237.7,93.01,242.3
000000403385.jpg,sink,9.21,313.62,142.71,78.26
000000006818.jpg,toilet,186.97,471.83,100.67,56.09
000000480985.jpg,motorcycle,14.61,68.54,329.21,421.35
000000480985.jpg,motorcycle,284.06,300.79,45.29,63.81
000000480985.jpg,person,47.19,296.12,28.3,33.17
000000480985.jpg,person,32.75,298.94,16.52,29.22
000000480985.jpg,person,320.16,275.05,27.06,104.53
000000480985.jpg,person,10.05,302.96,13.7,25.69
000000480985.jpg,person,266.37,293.13,23.97,88.96
000000480985.jpg,person,369.5,278.52,5.5,45.65
000000480985.jpg,motorcycle,345.6,306.34,27.16,25.92
000000480985.jpg,motorcycle,343.74,296.41,17.74,10.65
000000480985.jpg,motorcycle,0.0,329.66,35.78,37.18
000000480985.jpg,person,290.03,299.79,15.24,19.87
000000480985.jpg,person,302.2,298.22,12.73,18.73
000000458054.jpg,toilet,33.27,0.0,303.17,426.0
000000458054.jpg,toilet,228.8,172.38,195.29,180.93
000000458054.jpg,toilet,236.35,11.53,268.75,379.3
000000458054.jpg,toilet,346.72,73.55,193.9,239.74
000000458054.jpg,toilet,448.38,41.46,138.27,165.25
000000458054.jpg,toilet,399.88,28.4,150.53,212.71
000000458054.jpg,toilet,539.94,78.89,100.06,151.04
000000458054.jpg,toilet,0.0,0.0,201.7,426.0
000000458054.jpg,toilet,504.25,135.9,52.6,34.26
000000458054.jpg,toilet,428.64,129.32,134.7,103.95
000000331352.jpg,toilet,28.03,252.91,293.72,239.92
000000331352.jpg,sink,53.25,61.04,248.05,84.41
000000296649.jpg,car,427.91,329.25,212.09,93.27
000000296649.jpg,car,228.64,282.46,34.78,32.38
000000296649.jpg,car,348.58,287.9,19.97,25.09
000000296649.jpg,motorcycle,259.27,328.37,173.29,98.63
000000296649.jpg,motorcycle,0.42,324.71,174.38,102.29
000000296649.jpg,person,322.57,290.81,65.09,127.62
000000296649.jpg,person,273.64,292.11,50.95,129.65
000000296649.jpg,person,1.92,266.88,114.45,155.79
000000296649.jpg,person,424.12,270.59,107.47,129.54
000000296649.jpg,person,259.27,281.0,26.02,35.1
000000296649.jpg,person,281.06,276.47,15.51,41.32
000000296649.jpg,bicycle,256.81,311.86,26.05,67.98
000000296649.jpg,truck,228.65,272.26,33.46,44.5
000000296649.jpg,bird,448.29,35.04,5.16,4.92
000000296649.jpg,bird,457.14,125.93,4.0,1.85
000000296649.jpg,person,104.73,267.55,18.81,29.06
000000296649.jpg,person,120.86,271.12,16.28,25.4
000000296649.jpg,person,257.14,281.32,12.8,42.02
000000296649.jpg,person,269.0,274.45,8.89,17.78
000000296649.jpg,motorcycle,420.48,360.45,153.04,45.53
000000296649.jpg,bird,562.88,43.6,5.14,3.42
000000296649.jpg,bird,553.86,106.09,3.58,4.12
000000296649.jpg,person,556.28,309.36,32.09,46.12
000000296649.jpg,person,494.93,276.54,92.08,126.07
000000296649.jpg,car,230.93,271.36,32.6,16.44
000000296649.jpg,person,300,280,25,54
000000386912.jpg,person,210.27,143.29,219.82,276.15
000000386912.jpg,keyboard,212.6,373.38,93.71,46.02
000000386912.jpg,book,573.0,338.51,18.33,77.93
000000386912.jpg,book,582.79,173.25,12.81,56.42
000000386912.jpg,book,493.88,135.06,86.85,9.86
000000386912.jpg,book,542.36,1.58,23.41,84.23
000000386912.jpg,book,587.16,356.53,52.84,28.48
000000386912.jpg,book,607.35,176.4,24.63,57.89
000000386912.jpg,book,565.35,342.67,15.44,72.99
000000386912.jpg,book,558.57,343.32,16.14,68.88
000000386912.jpg,book,474.06,318.68,47.91,82.04
000000386912.jpg,book,519.42,325.62,20.86,81.1
000000386912.jpg,book,591.04,173.44,16.14,57.13
000000386912.jpg,chair,383.97,247.49,47.44,172.28
000000386912.jpg,tv,42.28,253.82,175.34,217.62
000000386912.jpg,book,577.41,6.38,15.41,79.72
000000386912.jpg,book,597.02,174.47,20.43,59.09
000000386912.jpg,book,82,0,557,479
000000502136.jpg,potted plant,3.98,289.63,120.43,103.51
000000502136.jpg,potted plant,332.9,304.45,66.39,80.61
000000502136.jpg,vase,352.66,338.24,27.56,47.53
000000502136.jpg,vase,48.48,347.86,26.55,46.74
000000491497.jpg,tv,1.03,180.41,91.75,186.6
000000491497.jpg,chair,167.38,293.56,186.7,198.5
000000491497.jpg,book,296.35,217.67,78.65,50.01
000000491497.jpg,book,343.38,150.84,10.1,45.34
000000491497.jpg,book,337.41,276.9,7.76,55.81
000000491497.jpg,book,338.07,155.97,6.91,39.86
000000491497.jpg,book,324.18,276.62,9.07,54.35
000000491497.jpg,book,349.19,283.61,6.13,49.93
000000491497.jpg,book,299.13,147.37,14.84,49.04
000000491497.jpg,book,319.85,280.5,7.38,48.36
000000491497.jpg,book,310.89,146.49,33.15,51.08
000000491497.jpg,couch,165.77,284.66,190.26,215.34
000000184791.jpg,bowl,131.38,311.5,155.08,87.53
000000184791.jpg,orange,316.77,273.44,79.17,75.4
000000184791.jpg,orange,92.25,221.69,63.74,68.08
000000184791.jpg,orange,134.39,199.35,48.65,38.02
000000184791.jpg,bowl,347.45,196.11,95.85,47.74
000000184791.jpg,orange,440.52,251.35,74.34,69.42
000000184791.jpg,orange,267.05,269.84,24.04,15.27
000000348881.jpg,person,567.82,273.1,31.38,74.11
000000348881.jpg,airplane,0.0,1.66,161.6,264.15
000000348881.jpg,person,251.19,106.42,23.32,61.72
000000348881.jpg,airplane,0.0,23.03,30.65,41.59
000000348881.jpg,suitcase,561.92,313.6,11.97,19.95
000000289393.jpg,bird,522.6,333.02,117.31,140.76
000000289393.jpg,giraffe,32.85,86.02,241.96,148.79
000000289393.jpg,cow,81.22,200.52,274.94,211.42
000000289393.jpg,potted plant,0.0,20.49,38.83,296.63
000000522713.jpg,boat,384.26,247.01,16.39,25.19
000000522713.jpg,boat,406.2,251.65,13.11,18.29
000000522713.jpg,boat,437.18,263.26,30.65,8.21
000000522713.jpg,person,306.78,277.85,10.74,10.39
000000522713.jpg,boat,359.73,268.11,16.69,5.59
000000522713.jpg,boat,514.46,251.52,15.07,23.89
000000522713.jpg,boat,392.73,271.54,15.04,3.24
000000522713.jpg,boat,510.03,266.43,11.56,4.44
000000522713.jpg,bench,410.45,283.97,150.57,71.29
000000522713.jpg,boat,480.41,270.49,21.35,4.37
000000522713.jpg,person,490.68,269.32,3.48,3.41
000000522713.jpg,boat,522.23,257.56,2.25,3.01
000000522713.jpg,boat,437.15,263.5,11.31,3.91
000000181666.jpg,sheep,168.36,303.18,47.33,115.58
000000181666.jpg,sheep,273.54,267.81,78.03,143.19
000000181666.jpg,sheep,340.0,276.02,88.66,116.08
000000181666.jpg,sheep,429.03,299.43,65.53,106.52
000000181666.jpg,person,272.5,165.89,52.38,103.93
000000181666.jpg,person,51.39,189.47,24.08,26.27
000000181666.jpg,person,0.0,182.71,15.86,78.35
000000181666.jpg,sheep,538.94,291.78,56.33,114.63
000000181666.jpg,sheep,468.51,255.51,34.71,32.38
000000181666.jpg,sheep,441.65,265.88,21.58,32.27
000000181666.jpg,sheep,0.0,284.91,27.3,87.12
000000181666.jpg,sheep,219.09,314.36,52.88,110.64
000000181666.jpg,sheep,458.76,213.71,45.18,29.04
000000181666.jpg,sheep,78.92,288.43,73.81,121.84
000000181666.jpg,sheep,600.29,279.98,39.71,103.52
000000181666.jpg,sheep,481.11,299.69,73.72,103.56
000000017627.jpg,car,264.65,235.3,110.57,67.29
000000017627.jpg,car,30.14,233.37,117.33,94.28
000000017627.jpg,car,27.3,214.68,77.94,51.73
000000017627.jpg,car,168.49,237.08,101.88,60.81
000000017627.jpg,car,412.11,234.99,71.72,50.55
000000017627.jpg,car,479.23,234.76,90.21,50.47
000000017627.jpg,bus,1.08,1.08,155.32,472.45
000000017627.jpg,person,150.04,224.0,19.01,71.72
000000017627.jpg,person,259.18,228.19,14.12,21.06
000000017627.jpg,car,344.39,227.64,28.81,26.56
000000017627.jpg,car,100.09,241.54,29.45,35.17
000000017627.jpg,car,598.47,242.61,41.53,33.69
000000017627.jpg,car,551.98,241.96,35.01,36.59
000000017627.jpg,car,460.41,231.36,68.29,24.45
000000017627.jpg,person,172.88,235.27,10.0,30.0
000000017627.jpg,person,187.03,226.28,16.01,22.49
000000143931.jpg,bus,0.0,0.0,638.56,472.45
000000143931.jpg,person,449.74,155.39,87.69,139.27
000000303818.jpg,bus,312.83,66.01,167.17,245.38
000000303818.jpg,backpack,162.47,199.25,11.74,18.66
000000303818.jpg,car,4.5,198.23,129.81,77.88
000000303818.jpg,person,240.27,195.14,15.08,63.27
000000303818.jpg,person,189.77,196.22,25.89,70.3
000000303818.jpg,person,173.39,190.83,22.85,59.21
000000303818.jpg,person,181.94,180.76,16.15,62.99
000000303818.jpg,person,154.81,190.75,23.1,64.26
000000303818.jpg,person,311.09,200.6,27.55,76.42
000000303818.jpg,person,268.01,205.38,5.97,24.96
000000303818.jpg,person,197.88,186.4,30.36,71.63
000000303818.jpg,person,36.68,180.68,15.61,19.02
000000303818.jpg,person,11.78,184.89,14.13,32.36
000000303818.jpg,car,110.7,169.77,12.12,5.83
000000303818.jpg,handbag,211.17,223.86,15.86,23.51
000000303818.jpg,person,290.03,201.46,20.99,75.59
000000303818.jpg,handbag,188.32,218.64,7.82,15.76
000000303818.jpg,person,251.5,201.08,29.7,70.49
000000463730.jpg,car,511.66,186.35,128.34,137.12
000000463730.jpg,motorcycle,336.79,219.18,16.82,39.03
000000463730.jpg,bus,369.16,62.54,172.04,230.75
000000463730.jpg,bus,197.14,110.77,120.5,162.82
000000463730.jpg,person,151.89,184.46,57.31,126.09
000000463730.jpg,person,130.07,184.83,59.11,127.75
000000463730.jpg,person,299.76,174.84,29.81,101.26
000000463730.jpg,person,82.39,209.88,22.52,44.06
000000463730.jpg,person,358.49,146.78,12.36,25.71
000000463730.jpg,person,39.01,180.37,42.07,121.08
000000463730.jpg,person,330.22,188.94,30.51,55.97
000000463730.jpg,person,391.25,111.92,27.27,31.42
000000463730.jpg,car,356.28,201.57,14.79,47.57
000000463730.jpg,car,318.24,188.49,22.4,14.93
000000463730.jpg,backpack,160.91,233.4,15.64,32.72
000000463730.jpg,person,578.15,202.01,31.32,23.6
000000463730.jpg,person,556.61,171.3,30.75,50.13
000000463730.jpg,person,127.88,208.95,13.22,43.82
000000463730.jpg,person,611.34,172.76,20.35,50.99
000000463730.jpg,person,490.59,98.91,35.07,45.1
000000463730.jpg,motorcycle,82.03,229.93,16.7,25.54
000000463730.jpg,person,1,116,602,151
000000460347.jpg,car,328.04,69.16,54.68,45.2
000000460347.jpg,car,338.61,13.51,38.02,23.61
