Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744141966031,4056,4056,4056,4056,4056,4056,4056,4056,81.36402893066406,83.76249694824219,84.12257385253906,87.89102172851563,82.55195617675781,87.218994140625,85.86717224121094,85.76483917236328,83.0577392578125,86.55565643310547,86.93426513671875,81.54454040527344,87.150390625,87.74030303955078,NaN,100,100,100,100,100,100,100,21.956403732299805,17179869184,4294967296,12673302528,3300524032
204,1744141966031,4056,4056,4056,4056,4056,4056,4056,4056,81.36402893066406,83.76249694824219,84.12257385253906,87.89102172851563,82.55195617675781,87.218994140625,85.86717224121094,85.76483917236328,83.0577392578125,86.55565643310547,86.93426513671875,81.54454040527344,87.150390625,87.74030303955078,100,NaN,NaN,100,100,NaN,100,NaN,21.956403732299805,17179869184,4294967296,12673302528,3300524032
206,1744141966235,4056,4056,4056,4056,4056,4056,4056,4056,81.36402893066406,83.76249694824219,84.12257385253906,87.89102172851563,82.55195617675781,87.218994140625,85.86717224121094,85.76483917236328,83.0577392578125,86.55565643310547,86.93426513671875,81.54454040527344,87.150390625,87.74030303955078,94.73684692382813,95.23809814453125,90.90909576416016,94.73684692382813,100,100,100,100,21.956403732299805,17179869184,4294967296,12673302528,3300524032
206,1744141966442,4056,4056,4056,4056,4056,4056,4056,4056,81.36402893066406,83.76249694824219,84.12257385253906,87.89102172851563,82.55195617675781,87.218994140625,85.86717224121094,85.76483917236328,83.0577392578125,86.55565643310547,86.93426513671875,81.54454040527344,87.150390625,87.74030303955078,100,100,100,95.45454406738281,100,100,100,100,34.9427375793457,17179869184,4294967296,12673302528,3300524032
200,1744141966651,4056,4056,4056,4056,4056,4056,4056,4056,81.36402893066406,83.76249694824219,84.12257385253906,87.89102172851563,82.55195617675781,87.218994140625,85.86717224121094,85.76483917236328,83.0577392578125,86.55565643310547,86.93426513671875,81.54454040527344,87.150390625,87.74030303955078,100,100,100,100,100,100,100,100,34.9427375793457,17179869184,4294967296,12673302528,3300524032
201,1744141966852,4056,4056,4056,4056,4056,4056,4056,4056,85.27433776855469,87.5863265991211,87.74348449707031,91.23780059814453,86.26524353027344,90.63636779785156,89.65480041503906,89.5650405883789,86.9885025024414,90.35380554199219,90.72979736328125,85.42230987548828,90.87676239013672,91.49007415771484,95.23809814453125,90,90,90,100,100,100,100,34.9427375793457,17179869184,4294967296,12673302528,3300524032
200,1744141967053,4056,4056,4056,4056,4056,4056,4056,4056,85.27433776855469,87.5863265991211,87.74348449707031,91.23780059814453,86.26524353027344,90.63636779785156,89.65480041503906,89.5650405883789,86.9885025024414,90.35380554199219,90.72979736328125,85.42230987548828,90.87676239013672,91.49007415771484,100,95.23809814453125,100,100,100,100,100,100,34.9427375793457,17179869184,4294967296,12872630272,3300524032
200,1744141967254,4056,4056,4056,4056,4056,4056,4056,4056,85.27433776855469,87.5863265991211,87.74348449707031,91.23780059814453,86.26524353027344,90.63636779785156,89.65480041503906,89.5650405883789,86.9885025024414,90.35380554199219,90.72979736328125,85.42230987548828,90.87676239013672,91.49007415771484,100,100,95.23809814453125,95,100,100,100,100,34.9427375793457,17179869184,4294967296,12872630272,3300524032
205,1744141967454,4056,4056,4056,4056,4056,4056,4056,4056,85.27433776855469,87.5863265991211,87.74348449707031,91.23780059814453,86.26524353027344,90.63636779785156,89.65480041503906,89.5650405883789,86.9885025024414,90.35380554199219,90.72979736328125,85.42230987548828,90.87676239013672,91.49007415771484,100,100,100,100,100,100,100,100,39.75035095214844,17179869184,4294967296,12872630272,3300524032
203,1744141967660,4056,4056,4056,4056,4056,4056,4056,4056,85.27433776855469,87.5863265991211,87.74348449707031,91.23780059814453,86.26524353027344,90.63636779785156,89.65480041503906,89.5650405883789,86.9885025024414,90.35380554199219,90.72979736328125,85.42230987548828,90.87676239013672,91.49007415771484,95.45454406738281,95.23809814453125,95,95.23809814453125,100,100,100,100,39.75035095214844,17179869184,4294967296,12872630272,3300524032
203,1744141967864,4056,4056,4056,4056,4056,4056,4056,4056,87.06829833984375,89.26693725585938,89.80443572998047,93.38957214355469,88.53004455566406,92.71237182617188,90.94308471679688,90.72517395019531,88.54981994628906,91.71977233886719,92.04887390136719,87.22026824951172,92.58546447753906,93.15767669677734,100,100,100,100,100,100,100,100,39.75035095214844,17179869184,4294967296,12872630272,3300524032
202,1744141968068,4056,4056,4056,4056,4056,4056,4056,4056,87.06829833984375,89.26693725585938,89.80443572998047,93.38957214355469,88.53004455566406,92.71237182617188,90.94308471679688,90.72517395019531,88.54981994628906,91.71977233886719,92.04887390136719,87.22026824951172,92.58546447753906,93.15767669677734,100,100,100,100,100,100,100,100,39.75035095214844,17179869184,4294967296,13110673408,3300524032
200,1744141968270,4056,4056,4056,4056,4056,4056,4056,4056,87.06829833984375,89.26693725585938,89.80443572998047,93.38957214355469,88.53004455566406,92.71237182617188,90.94308471679688,90.72517395019531,88.54981994628906,91.71977233886719,92.04887390136719,87.22026824951172,92.58546447753906,93.15767669677734,95,100,95.23809814453125,95.23809814453125,100,100,100,100,39.75035095214844,17179869184,4294967296,13110673408,3300524032
