Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743799675883,4056,4056,4056,4056,4056,4056,4056,4056,45.564273834228516,45.70589828491211,45.01396942138672,45.10496520996094,45.06159210205078,45.16592025756836,45.5211181640625,45.28385925292969,45.24059295654297,45.847511291503906,45.87491226196289,45.280303955078125,44.9997673034668,45.19430160522461,85.71428680419922,100,85.71428680419922,100,100,100,33.333335876464844,100,3.861241579055786,17179869184,2147483648,7474053120,355074048
204,1743799675883,4056,4056,4056,4056,4056,4056,4056,4056,45.564273834228516,45.70589828491211,45.01396942138672,45.10496520996094,45.06159210205078,45.16592025756836,45.5211181640625,45.28385925292969,45.24059295654297,45.847511291503906,45.87491226196289,45.280303955078125,44.9997673034668,45.19430160522461,100,100,100,NaN,NaN,100,100,NaN,3.861241579055786,17179869184,2147483648,7474053120,355074048
201,1743799676088,4056,4056,4056,4056,4056,4056,4056,4056,48.77711486816406,48.782352447509766,48.328250885009766,49.255435943603516,48.19422912597656,49.08687210083008,49.18278503417969,49.13307571411133,48.69524002075195,49.0058708190918,49.020362854003906,48.311607360839844,48.46763229370117,48.71628189086914,100,100,100,100,100,100,100,100,3.861241579055786,17179869184,2147483648,7474053120,355074048
200,1743799676289,4056,4056,4056,4056,4056,4056,4056,4056,48.77711486816406,48.782352447509766,48.328250885009766,49.255435943603516,48.19422912597656,49.08687210083008,49.18278503417969,49.13307571411133,48.69524002075195,49.0058708190918,49.020362854003906,48.311607360839844,48.46763229370117,48.71628189086914,35,35,30.000001907348633,25,95,95,90.47618865966797,95,3.861241579055786,17179869184,2147483648,7587102720,355074048
204,1743799676490,4056,4056,4056,4056,4056,4056,4056,4056,48.77711486816406,48.782352447509766,48.328250885009766,49.255435943603516,48.19422912597656,49.08687210083008,49.18278503417969,49.13307571411133,48.69524002075195,49.0058708190918,49.020362854003906,48.311607360839844,48.46763229370117,48.71628189086914,15.000000953674316,15.000000953674316,14.285715103149414,0,95,95,94.73684692382813,90.47618865966797,3.861241579055786,17179869184,2147483648,7424081920,355074048
204,1743799676695,4056,4056,4056,4056,4056,4056,4056,4056,48.77711486816406,48.782352447509766,48.328250885009766,49.255435943603516,48.19422912597656,49.08687210083008,49.18278503417969,49.13307571411133,48.69524002075195,49.0058708190918,49.020362854003906,48.311607360839844,48.46763229370117,48.71628189086914,35,28.571430206298828,15.000000953674316,20,80.95238494873047,80,81.81818389892578,80.95238494873047,8.170950889587402,17179869184,2147483648,7492272128,355074048
204,1743799676900,4056,4056,4056,4056,4056,4056,4056,4056,48.77711486816406,48.782352447509766,48.328250885009766,49.255435943603516,48.19422912597656,49.08687210083008,49.18278503417969,49.13307571411133,48.69524002075195,49.0058708190918,49.020362854003906,48.311607360839844,48.46763229370117,48.71628189086914,30.000001907348633,42.105262756347656,15.789472579956055,14.285715103149414,85,85.71428680419922,84.21052551269531,84.21052551269531,8.170950889587402,17179869184,2147483648,7518339072,355074048
203,1743799677105,4056,4056,4056,4056,4056,4056,4056,4056,52.585411071777344,52.935569763183594,52.919715881347656,54.155555725097656,52.78524398803711,53.8367805480957,53.53567123413086,53.65358352661133,52.783782958984375,53.56383514404297,53.72187423706055,52.257659912109375,53.79183578491211,53.88196563720703,25,28.571430206298828,15.000000953674316,10,90,90,85.71428680419922,85.71428680419922,8.170950889587402,17179869184,2147483648,7644397568,355074048
200,1743799677309,4056,4056,4056,4056,4056,4056,4056,4056,52.585411071777344,52.935569763183594,52.919715881347656,54.155555725097656,52.78524398803711,53.8367805480957,53.53567123413086,53.65358352661133,52.783782958984375,53.56383514404297,53.72187423706055,52.257659912109375,53.79183578491211,53.88196563720703,71.42857360839844,65,47.619049072265625,40,80,95,52.6315803527832,95.23809814453125,8.170950889587402,17179869184,2147483648,7681048576,355074048
204,1743799677509,4056,4056,4056,4056,4056,4056,4056,4056,52.585411071777344,52.935569763183594,52.919715881347656,54.155555725097656,52.78524398803711,53.8367805480957,53.53567123413086,53.65358352661133,52.783782958984375,53.56383514404297,53.72187423706055,52.257659912109375,53.79183578491211,53.88196563720703,73.68421173095703,60.000003814697266,52.38095474243164,42.85714340209961,100,100,61.904762268066406,100,8.170950889587402,17179869184,2147483648,7685996544,355074048
