Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744213877767,4056,4056,4056,4056,4056,4056,4056,4056,44.542842864990234,44.38068389892578,43.765892028808594,44.29281997680664,43.903873443603516,44.312686920166016,44.29890060424805,44.1383056640625,44.11501693725586,44.290706634521484,44.099205017089844,44.178871154785156,43.83550262451172,43.7390251159668,100,100,100,NaN,100,100,100,100,5.5618977546691895,17179869184,6442450944,13394444288,4988665856
204,1744213877767,4056,4056,4056,4056,4056,4056,4056,4056,44.542842864990234,44.38068389892578,43.765892028808594,44.29281997680664,43.903873443603516,44.312686920166016,44.29890060424805,44.1383056640625,44.11501693725586,44.290706634521484,44.099205017089844,44.178871154785156,43.83550262451172,43.7390251159668,NaN,NaN,100,100,100,NaN,100,NaN,5.5618977546691895,17179869184,6442450944,13394444288,4988665856
204,1744213877972,4056,4056,4056,4056,4056,4056,4056,4056,44.542842864990234,44.38068389892578,43.765892028808594,44.29281997680664,43.903873443603516,44.312686920166016,44.29890060424805,44.1383056640625,44.11501693725586,44.290706634521484,44.099205017089844,44.178871154785156,43.83550262451172,43.7390251159668,100,100,100,100,75,80.95238494873047,45,85.71428680419922,5.5618977546691895,17179869184,6442450944,13394444288,4988665856
204,1744213878177,4056,4056,4056,4056,4056,4056,4056,4056,44.542842864990234,44.38068389892578,43.765892028808594,44.29281997680664,43.903873443603516,44.312686920166016,44.29890060424805,44.1383056640625,44.11501693725586,44.290706634521484,44.099205017089844,44.178871154785156,43.83550262451172,43.7390251159668,95,90.90909576416016,90,85.71428680419922,40,70,10.526315689086914,100,5.5618977546691895,17179869184,6442450944,13414793216,4988665856
204,1744213878382,4056,4056,4056,4056,4056,4056,4056,4056,44.542842864990234,44.38068389892578,43.765892028808594,44.29281997680664,43.903873443603516,44.312686920166016,44.29890060424805,44.1383056640625,44.11501693725586,44.290706634521484,44.099205017089844,44.178871154785156,43.83550262451172,43.7390251159668,90.47618865966797,89.47368621826172,85,80,100,100,95.45454406738281,100,5.240704536437988,17179869184,6442450944,13443727360,4988665856
204,1744213878587,4056,4056,4056,4056,4056,4056,4056,4056,44.542842864990234,44.38068389892578,43.765892028808594,44.29281997680664,43.903873443603516,44.312686920166016,44.29890060424805,44.1383056640625,44.11501693725586,44.290706634521484,44.099205017089844,44.178871154785156,43.83550262451172,43.7390251159668,100,95.23809814453125,95.23809814453125,100,90,94.73684692382813,0,85.71428680419922,5.240704536437988,17179869184,6442450944,13443727360,4988665856
204,1744213878792,4056,4056,4056,4056,4056,4056,4056,4056,47.529876708984375,47.519126892089844,46.29569625854492,47.166133880615234,46.36481857299805,47.2464599609375,47.27431869506836,47.029563903808594,47.2286491394043,47.334259033203125,47.026939392089844,47.326412200927734,46.17771911621094,46.095420837402344,100,100,100,100,10,100,0,100,5.240704536437988,17179869184,6442450944,13443727360,4988665856
204,1744213878997,4056,4056,4056,4056,4056,4056,4056,4056,47.529876708984375,47.519126892089844,46.29569625854492,47.166133880615234,46.36481857299805,47.2464599609375,47.27431869506836,47.029563903808594,47.2286491394043,47.334259033203125,47.026939392089844,47.326412200927734,46.17771911621094,46.095420837402344,95.23809814453125,95.23809814453125,100,90.47618865966797,100,100,90,100,5.240704536437988,17179869184,6442450944,13443727360,4988665856
204,1744213879203,4056,4056,4056,4056,4056,4056,4056,4056,47.529876708984375,47.519126892089844,46.29569625854492,47.166133880615234,46.36481857299805,47.2464599609375,47.27431869506836,47.029563903808594,47.2286491394043,47.334259033203125,47.026939392089844,47.326412200927734,46.17771911621094,46.095420837402344,95,100,95,95,85,85.71428680419922,9.523809432983398,95,10.183101654052734,17179869184,6442450944,13451411456,4988665856
205,1744213879407,4056,4056,4056,4056,4056,4056,4056,4056,47.529876708984375,47.519126892089844,46.29569625854492,47.166133880615234,46.36481857299805,47.2464599609375,47.27431869506836,47.029563903808594,47.2286491394043,47.334259033203125,47.026939392089844,47.326412200927734,46.17771911621094,46.095420837402344,100,95.45454406738281,95.23809814453125,100,22.72727394104004,95,0,100,10.183101654052734,17179869184,6442450944,13453541376,4988665856
204,1744213879612,4056,4056,4056,4056,4056,4056,4056,4056,47.529876708984375,47.519126892089844,46.29569625854492,47.166133880615234,46.36481857299805,47.2464599609375,47.27431869506836,47.029563903808594,47.2286491394043,47.334259033203125,47.026939392089844,47.326412200927734,46.17771911621094,46.095420837402344,85.71428680419922,85,84.21052551269531,78.94737243652344,100,100,95,100,10.183101654052734,17179869184,6442450944,13435715584,4988665856
204,1744213879817,4056,4056,4056,4056,4056,4056,4056,4056,48.477272033691406,48.52534866333008,47.21338653564453,48.0561637878418,47.25172805786133,48.16655349731445,48.27054977416992,47.9785041809082,48.18477249145508,48.291873931884766,48.001953125,48.345420837402344,47.08000183105469,46.94458770751953,85,80,71.42857360839844,66.66667175292969,85,100,45,85.71428680419922,10.183101654052734,17179869184,6442450944,13445857280,4988665856
